Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value,Standard Units,pChEMBL Value,R_squared,Hill_slope,IC50_CI_lower_uM,IC50_CI_upper_uM,Max_Response_Pct,Comment,Molecular Weight,AlogP,#RO5 Violations,Target Name
CHEMBL5441953,Cc1[nH]c2ncnc(NC(=O)c3cncc(Cl)n3)c2c1C,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,302.73,2.27,0,Replicase polyprotein 1ab
CHEMBL5441966,O=C(Nc1cccc2c(C(=O)N[C@@H](CO)c3ccc4c(c3)OCCO4)c[nH]c12)NC1CC1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,436.47,2.69,0,Replicase polyprotein 1ab
CHEMBL5442021,CC(C)[C@@H](Nc1ncnc2ncccc12)c1ccc2c(c1)OCCO2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,336.4,3.61,0,Replicase polyprotein 1ab
CHEMBL5442108,CC(C)[C@@H](NC(=O)c1ccccn1)c1ccc2c(c1)OCCO2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,312.37,2.98,0,Replicase polyprotein 1ab
CHEMBL5442048,Cn1ncc2c(N[C@@H](c3ccc4c(c3)OCCO4)C3CC3)ncnc21,'>',99500.0,nM,,0.464,0.5,,,100.0,Falls Outside The Dose Series,337.38,2.7,0,Replicase polyprotein 1ab
CHEMBL5441931,O=C(Nc1cccc2c(C(=O)Nc3cc4c(cc3CO)OCCO4)c[nH]c12)NC1CC1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,422.44,2.97,0,Replicase polyprotein 1ab
CHEMBL5441501,c1nc(Nc2ccc3c(c2)OCO3)c2cc[nH]c2n1,'>',99500.0,nM,,0.693,7.999,,,100.0,Falls Outside The Dose Series,254.25,2.43,0,Replicase polyprotein 1ab
CHEMBL5441811,CS(=O)(=O)Nc1ccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)cc1,'=',10023.0,nM,5.0,0.99,1.182,8.753,11.48,100.0,,403.42,1.28,0,Replicase polyprotein 1ab
CHEMBL5441981,O=C(O)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)OCCO2,'=',9410.0,nM,5.03,0.982,1.242,7.764,11.41,100.0,,326.31,1.97,0,Replicase polyprotein 1ab
CHEMBL5441635,c1nc(N[C@@H](c2ccc3c(c2)OCCO3)C2CCC2)c2cc[nH]c2n1,'=',5196.0,nM,5.28,0.98,1.134,4.163,6.485,100.0,,336.39,3.68,0,Replicase polyprotein 1ab
CHEMBL5441578,COc1cccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)c1,'=',16299.0,nM,4.79,0.943,1.321,12.1,21.96,100.0,,340.34,1.91,0,Replicase polyprotein 1ab
CHEMBL5441832,O=C(O)C[C@@H](NC(=O)c1ccc(NC(=O)NC2CC2)cc1)c1cccnc1,'=',77115.0,nM,4.11,0.778,1.121,47.1,126.25,100.0,,368.39,2.31,0,Replicase polyprotein 1ab
CHEMBL5441765,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccn(C(C)C)n3)cc12)c1ccc2c(c1)OCCO2,'=',2616.0,nM,5.58,0.924,1.179,1.757,3.896,100.0,,432.53,4.98,0,Replicase polyprotein 1ab
CHEMBL5441589,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(-c4ccc(F)cc4)c3)cc12)c1ccc2c(c1)OCCO2,'=',25976.0,nM,4.58,0.914,0.699,17.54,38.47,100.0,,484.54,5.53,1,Replicase polyprotein 1ab
CHEMBL5442019,Cc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)co1,'=',13554.0,nM,4.87,0.992,1.127,12.09,15.2,100.0,,404.47,5.11,1,Replicase polyprotein 1ab
CHEMBL5441699,O=C(Nc1ccccc1)Nc1ccc(C(=O)NC2c3cccc(O)c3CC2C(=O)O)cc1,'=',316.0,nM,6.5,0.994,1.3,0.283,0.352,100.0,,431.45,3.76,0,Replicase polyprotein 1ab
CHEMBL5441542,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1cnc2c(c1)OCCO2,'>',99500.0,nM,,0.907,0.922,,,100.0,Falls Outside The Dose Series,325.37,2.93,0,Replicase polyprotein 1ab
CHEMBL5442059,O=C(Nc1cccc2c(C(=O)N[C@@H]3c4ccccc4C[C@@H]3C(=O)O)c[nH]c12)NC1CC1,'=',2278.0,nM,5.64,0.991,1.115,1.544,3.361,100.0,,418.45,3.18,0,Replicase polyprotein 1ab
CHEMBL5442002,CO[C@@H]1C[C@@H](C(=O)O)N(c2ncnc3[nH]ccc23)C1,'>',99500.0,nM,,0.892,0.953,,,100.0,Falls Outside The Dose Series,262.27,0.64,0,Replicase polyprotein 1ab
CHEMBL5169608,CC(C)[C@H](Nc1ncnc2[nH]ccc12)C(=O)O,'=',34091.0,nM,4.47,0.991,1.181,31.01,37.48,100.0,,234.26,1.48,0,Replicase polyprotein 1ab
CHEMBL5441702,CC(C)[C@@H](Nc1ncnc2[nH]cc(Cl)c12)c1ccc2c(c1)OCCO2,'=',7709.0,nM,5.11,0.988,1.528,6.653,8.934,100.0,,358.83,4.19,0,Replicase polyprotein 1ab
CHEMBL5441549,CNC(=O)c1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)c12,'=',728.0,nM,6.14,0.997,1.288,0.674,0.787,100.0,,381.44,2.9,0,Replicase polyprotein 1ab
CHEMBL5441441,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,'=',247.0,nM,6.61,0.995,1.129,0.222,0.275,100.0,,447.5,2.89,0,Replicase polyprotein 1ab
CHEMBL5442110,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccoc3)cc12)c1ccc2c(c1)OCCO2,'=',1523.0,nM,5.82,0.991,1.165,1.324,1.752,100.0,,390.44,4.8,0,Replicase polyprotein 1ab
CHEMBL5441619,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C(C)C)c3C#N)cc12)c1ccc2c(c1)OCCO2,'=',1844.0,nM,5.73,0.983,1.167,1.545,2.201,100.0,,457.54,4.85,0,Replicase polyprotein 1ab
CHEMBL5441681,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)OCCO2,'=',44431.0,nM,4.35,0.981,0.963,38.75,50.95,100.0,,324.38,3.54,0,Replicase polyprotein 1ab
